Period\Unit:,[Argentine peso ],[Australian dollar ],[Bulgarian lev ],[Brazilian real ],[Canadian dollar ],[Swiss franc ],[Chinese yuan renminbi ],[Cypriot pound ],[Czech koruna ],[Danish krone ],[Algerian dinar ],[Estonian kroon ],[UK pound sterling ],[Greek drachma ],[Hong Kong dollar ],[Croatian kuna ],[Hungarian forint ],[Indonesian rupiah ],[Israeli shekel ],[Indian rupee ],[Iceland krona ],[Japanese yen ],[Korean won ],[Lithuanian litas ],[Latvian lats ],[Moroccan dirham ],[Maltese lira ],[Mexican peso ],[Malaysian ringgit ],[Norwegian krone ],[New Zealand dollar ],[Philippine peso ],[Polish zloty ],[Romanian leu ],[Russian rouble ],[Swedish krona ],[Singapore dollar ],[Slovenian tolar ],[Slovak koruna ],[Thai baht ],[Turkish lira ],[New Taiwan dollar ],[US dollar ],[South African rand ]
2021-09-06,,1.5952,1.9558,6.1638,1.4883,1.0869,7.6611,,25.401,7.4360,,,0.85710,,9.2226,7.4870,347.03,16876.96,3.7974,86.7135,150.60,130.34,1372.45,,,,,23.6212,4.9212,10.2728,1.6612,59.267,4.5208,4.9478,86.5584,10.1658,1.5926,,,38.5160,9.8199,,1.1864,16.9075
2021-09-03,,1.5961,1.9558,6.1279,1.4879,1.0863,7.6555,,25.422,7.4361,,,0.85840,,9.2285,7.4973,348.40,16934.44,3.8023,86.7045,150.60,130.54,1374.06,,,,,23.6503,4.9227,10.2738,1.6654,59.202,4.5088,4.9438,86.3810,10.1708,1.5941,,,38.6200,9.8574,,1.1872,17.0285
2021-09-02,,1.6038,1.9558,6.1429,1.4944,1.0848,7.6503,,25.382,7.4360,,,0.85915,,9.2075,7.5010,347.85,16874.01,3.8029,86.5205,150.60,130.31,1372.66,,,,,23.6529,4.9256,10.2938,1.6702,59.039,4.5069,4.9393,86.2301,10.1939,1.5921,,,38.4460,9.7942,,1.1846,16.9882
2021-09-01,,1.6088,1.9558,6.0886,1.4879,1.0845,7.6421,,25.406,7.4361,,,0.85863,,9.1907,7.4900,348.03,16872.69,3.7846,86.3480,149.00,130.35,1369.25,,,,,23.6484,4.9085,10.2633,1.6776,59.163,4.5078,4.9346,86.3373,10.1961,1.5916,,,38.2040,9.7985,,1.1817,17.0532
2021-08-31,,1.6156,1.9558,6.1386,1.4896,1.0799,7.6465,,25.523,7.4360,,,0.85875,,9.2086,7.4900,348.80,16879.69,3.7951,86.3850,149.60,129.95,1370.03,,,,,23.7864,4.9194,10.2600,1.6760,58.765,4.5296,4.9359,86.7600,10.1625,1.5897,,,38.1290,9.8310,,1.1834,17.2282
2021-08-30,,1.6167,1.9558,6.1529,1.4867,1.0798,7.6347,,25.566,7.4361,,,0.85748,,9.1891,7.4935,348.30,16916.81,3.7998,86.5035,149.80,129.66,1375.03,,,,,23.8273,4.9057,10.2395,1.6844,58.786,4.5678,4.9343,86.7119,10.1813,1.5881,,,38.2710,9.8909,,1.1801,17.2578
2021-08-27,,1.6220,1.9558,6.1692,1.4914,1.0796,7.6195,,25.563,7.4363,,,0.85703,,9.1619,7.4886,350.87,16968.95,3.8007,86.7010,149.20,129.59,1375.78,,,,,23.9686,4.9279,10.3575,1.6927,58.754,4.5827,4.9340,87.0549,10.2345,1.5888,,,38.4060,9.8809,,1.1761,17.5356
2021-08-26,,1.6206,1.9558,6.1506,1.4838,1.0789,7.6285,,25.546,7.4366,,,0.85718,,9.1625,7.4885,349.18,16996.28,3.7932,87.2340,148.60,129.60,1373.36,,,,,23.9001,4.9363,10.3615,1.6882,58.803,4.5779,4.9318,87.0756,10.2413,1.5920,,,38.5250,9.8450,,1.1767,17.5420
2021-08-25,,1.6191,1.9558,6.1707,1.4827,1.0739,7.6031,,25.531,7.4366,,,0.85590,,9.1357,7.4925,348.76,16943.59,3.7925,87.1520,148.60,129.00,1370.17,,,,,23.7798,4.9350,10.3863,1.6900,58.495,4.5779,4.9290,86.6276,10.2248,1.5901,,,38.4650,9.8787,,1.1736,17.5801
2021-08-24,,1.6203,1.9558,6.2681,1.4822,1.0711,7.6042,,25.533,7.4370,,,0.85578,,9.1448,7.4938,349.69,16897.00,3.7789,87.0625,150.00,128.74,1369.00,,,,,23.8606,4.9525,10.4003,1.6893,58.783,4.5792,4.9280,86.7484,10.2090,1.5918,,,38.5950,9.8836,,1.1740,17.6902
2021-08-23,,1.6311,1.9558,6.2826,1.4911,1.0744,7.5990,,25.514,7.4369,,,0.85635,,9.1313,7.4958,350.13,16870.30,3.7857,86.9150,150.20,129.02,1372.54,,,,,23.8334,4.9520,10.4870,1.7063,58.808,4.5868,4.9294,86.8572,10.2573,1.5924,,,39.0910,9.9150,,1.1718,17.8218
2021-08-20,,1.6373,1.9558,6.3622,1.5069,1.0711,7.5854,,25.559,7.4368,,,0.85750,,9.0924,7.4990,350.92,16887.06,3.7875,86.8025,149.40,127.97,1380.66,,,,,23.6848,4.9456,10.6000,1.7108,58.765,4.5895,4.9344,86.9259,10.3263,1.5907,,,38.9460,9.9571,,1.1671,17.8750
2021-08-19,,1.6319,1.9558,6.3662,1.4919,1.0723,7.5901,,25.501,7.4369,,,0.85523,,9.1121,7.5028,350.98,16922.07,3.8024,86.9975,148.80,128.21,1375.34,,,,,23.5852,4.9573,10.5450,1.7101,59.084,4.5832,4.9295,86.7175,10.2798,1.5942,,,38.9940,9.9731,,1.1696,17.7504
2021-08-18,,1.6170,1.9558,6.1913,1.4793,1.0726,7.5976,,25.447,7.4368,,,0.85183,,9.1299,7.4953,350.52,16872.12,3.7900,87.0470,148.40,128.67,1371.95,,,,,23.4178,4.9682,10.4220,1.6980,59.150,4.5634,4.9254,86.3484,10.2233,1.5942,,,39.0200,9.9380,,1.1723,17.4356
2021-08-17,,1.6138,1.9558,6.2065,1.4838,1.0713,7.6244,,25.441,7.4365,,,0.85323,,9.1704,7.4910,351.15,16932.04,3.7991,87.4390,148.40,128.57,1381.91,,,,,23.4266,4.9869,10.3983,1.6983,59.346,4.5605,4.9256,86.3767,10.1948,1.5993,,,39.2080,9.9113,,1.1767,17.4416
2021-08-16,,1.6059,1.9558,6.2143,1.4782,1.0758,7.6243,,25.427,7.4367,,,0.84873,,9.1641,7.4946,351.89,16920.96,3.7871,87.3695,148.20,128.75,1374.09,,,,,23.4319,4.9884,10.4048,1.6754,59.763,4.5653,4.9138,86.4513,10.2008,1.5967,,,39.3710,9.9717,,1.1772,17.3852
2021-08-13,,1.6006,1.9558,6.1611,1.4724,1.0829,7.6237,,25.386,7.4370,,,0.85093,,9.1573,7.4983,353.03,16901.56,3.7837,87.3740,148.00,129.64,1369.96,,,,,23.3755,4.9854,10.3753,1.6776,59.543,4.5740,4.9115,86.2279,10.1993,1.5967,,,39.2130,10.0648,,1.1765,17.4561
2021-08-12,,1.5963,1.9558,6.1263,1.4694,1.0824,7.6036,,25.393,7.4371,,,0.84743,,9.1336,7.4988,353.25,16844.57,3.7817,87.1095,148.00,129.61,1365.19,,,,,23.3570,4.9691,10.3755,1.6716,59.231,4.5876,4.9145,86.2888,10.1883,1.5933,,,38.7620,10.0553,,1.1739,17.2780
2021-08-11,,1.5958,1.9558,6.1113,1.4677,1.0818,7.5996,,25.405,7.4373,,,0.84698,,9.1187,7.4955,354.84,16881.52,3.7694,87.1605,148.00,129.68,1357.41,,,,,23.5291,4.9684,10.4548,1.6704,59.126,4.5858,4.9163,86.8412,10.2305,1.5924,,,39.0620,10.1467,,1.1718,17.3326
2021-08-10,,1.5965,1.9558,6.1471,1.4729,1.0813,7.5975,,25.382,7.4373,,,0.84568,,9.1228,7.4985,352.86,16863.01,3.7825,87.1930,148.20,129.48,1349.76,,,,,23.5629,4.9566,10.4680,1.6758,59.007,4.5755,4.9160,86.3225,10.2145,1.5920,,,39.2220,10.0813,,1.1722,17.3605
2021-08-09,,1.6002,1.9558,6.1735,1.4747,1.0786,7.6190,,25.391,7.4370,,,0.84745,,9.1521,7.4995,353.87,16916.78,3.7851,87.3195,147.80,129.50,1345.82,,,,,23.5526,4.9731,10.4885,1.6763,59.275,4.5645,4.9134,86.3776,10.2175,1.5943,,,39.3290,10.1679,,1.1761,17.2075
2021-08-06,,1.5968,1.9558,6.1594,1.4763,1.0724,7.6379,,25.413,7.4371,,,0.84840,,9.1827,7.4978,352.72,16934.12,3.7967,87.4993,147.80,129.64,1349.15,,,,,23.5178,4.9814,10.4230,1.6737,59.644,4.5563,4.9160,86.4194,10.1683,1.5952,,,39.3590,10.1385,,1.1807,17.0983
2021-08-05,,1.5990,1.9558,6.1064,1.4817,1.0733,7.6555,,25.415,7.4366,,,0.85060,,9.2160,7.5008,353.95,16993.36,3.8035,87.8256,148.00,129.79,1353.34,,,,,23.6112,4.9977,10.4410,1.6759,59.660,4.5480,4.9159,86.5784,10.1983,1.5996,,,39.3890,10.1155,,1.1850,17.0232
2021-08-04,,1.6002,1.9558,6.1610,1.4880,1.0729,7.6638,,25.440,7.4367,,,0.85153,,9.2236,7.5009,354.24,16965.65,3.8035,87.9575,147.60,129.31,1355.44,,,,,23.5576,5.0077,10.4550,1.6784,58.988,4.5438,4.9185,86.5106,10.1970,1.6000,,,39.2720,10.0115,,1.1861,16.9211
2021-08-03,,1.6086,1.9558,6.1791,1.4874,1.0735,7.6818,,25.490,7.4376,,,0.85355,,9.2428,7.5005,354.59,16995.64,3.8211,88.2175,146.60,129.70,1364.59,,,,,23.5939,5.0161,10.4343,1.6953,58.946,4.5562,4.9183,86.7063,10.2045,1.6056,,,39.2440,9.9576,,1.1885,17.1001
2021-08-02,,1.6141,1.9558,6.1459,1.4816,1.0761,7.6807,,25.476,7.4381,,,0.85568,,9.2398,7.4963,356.01,17089.57,3.8321,88.3960,146.80,130.17,1367.67,,,,,23.5605,5.0218,10.4515,1.7041,59.211,4.5562,4.9180,86.4182,10.1910,1.6069,,,39.1520,9.9181,,1.1886,17.0993
2021-07-30,,1.6133,1.9558,6.0716,1.4791,1.0771,7.6838,,25.501,7.4379,,,0.85140,,9.2451,7.5003,357.20,17184.46,3.8403,88.3941,146.60,130.39,1368.74,,,,,23.6277,5.0180,10.4405,1.6990,59.479,4.5636,4.9203,86.7116,10.1868,1.6090,,,39.0980,9.9985,,1.1891,17.3283
2021-07-29,,1.6062,1.9558,6.0419,1.4808,1.0788,7.6691,,25.506,7.4376,,,0.85080,,9.2272,7.5085,358.08,17172.66,3.8521,88.1675,147.20,130.41,1360.07,,,,,23.5655,5.0324,10.3993,1.6986,59.722,4.5782,4.9215,87.0021,10.1675,1.6072,,,39.0030,10.0851,,1.1873,17.3117
2021-07-28,,1.6081,1.9558,6.0931,1.4840,1.0802,7.6722,,25.625,7.4373,,,0.85095,,9.1880,7.5066,359.72,17117.84,3.8492,87.8330,148.40,129.97,1362.99,,,,,23.5823,5.0003,10.4828,1.7013,59.465,4.5965,4.9213,86.7666,10.1963,1.6057,,,38.7800,10.0973,,1.1807,17.4792
2021-07-27,,1.6029,1.9558,6.1288,1.4839,1.0806,7.6799,,25.685,7.4371,,,0.85503,,9.1915,7.5064,359.43,17109.52,3.8411,87.9130,149.00,129.98,1360.75,,,,,23.6687,4.9990,10.4423,1.6956,59.553,4.5906,4.9196,87.0133,10.1650,1.6059,,,38.9260,10.1070,,1.1810,17.5332
2021-07-26,,1.6010,1.9558,6.1546,1.4804,1.0826,7.6426,,25.629,7.4372,,,0.85468,,9.1656,7.5245,361.65,17084.23,3.8487,87.7305,148.60,130.05,1360.69,,,,,23.6826,4.9877,10.4270,1.6889,59.342,4.5888,4.9223,87.1713,10.2050,1.6032,,,38.8320,10.0973,,1.1787,17.4846
2021-07-23,,1.5944,1.9558,6.1009,1.4788,1.0838,7.6224,,25.650,7.4382,,,0.85543,,9.1420,7.5353,359.13,17050.24,3.8510,87.5905,149.00,130.11,1354.19,,,,,23.6237,4.9733,10.4065,1.6846,59.120,4.5691,4.9227,86.6254,10.2105,1.5997,,,38.7430,10.0573,,1.1767,17.3882
2021-07-22,,1.5959,1.9558,6.1029,1.4779,1.0829,7.6153,,25.639,7.4382,,,0.85563,,9.1506,7.5320,357.87,17063.23,3.8524,87.6615,148.20,129.83,1352.59,,,,,23.7290,4.9726,10.3795,1.6906,58.921,4.5661,4.9227,86.9522,10.2245,1.6020,,,38.7040,10.0717,,1.1775,17.1449
2021-07-21,,1.6089,1.9558,6.1732,1.4932,1.0848,7.6201,,25.695,7.4385,,,0.86363,,9.1518,7.5276,360.20,17119.80,3.8755,87.7895,148.00,129.63,1359.56,,,,,23.7740,4.9825,10.5808,1.7004,59.396,4.5987,4.9255,87.5209,10.2448,1.6104,,,38.6950,10.1063,,1.1772,17.2811
2021-07-20,,1.6082,1.9558,6.1633,1.5023,1.0838,7.6305,,25.642,7.4381,,,0.86545,,9.1529,7.5210,359.45,17143.51,3.8810,87.9210,146.90,129.03,1352.39,,,,,23.5990,4.9743,10.6170,1.7049,60.005,4.5954,4.9255,87.6775,10.2535,1.6106,,,38.6340,10.0664,,1.1775,17.1349
2021-07-19,,1.6043,1.9558,6.0813,1.5028,1.0840,7.6344,,25.605,7.4377,,,0.85913,,9.1419,7.5065,359.48,17144.20,3.8781,88.2260,146.10,128.96,1357.53,,,,,23.5865,4.9717,10.5380,1.6986,59.865,4.5885,4.9268,87.9317,10.2533,1.6045,,,38.6630,10.1142,,1.1766,17.0741
2021-07-16,,1.5907,1.9558,6.0146,1.4856,1.0853,7.6373,,25.538,7.4381,,,0.85298,,9.1684,7.4968,359.73,17083.05,3.8796,88.0310,145.90,130.03,1347.94,,,,,23.4589,4.9681,10.3878,1.6836,59.364,4.5867,4.9285,87.5186,10.2428,1.5993,,,38.6690,10.0521,,1.1802,16.9840
2021-07-15,,1.5876,1.9558,6.0075,1.4808,1.0828,7.6304,,25.587,7.4375,,,0.85188,,9.1726,7.4918,359.45,17143.25,3.8553,88.0510,146.10,129.93,1350.13,,,,,23.5383,4.9627,10.3803,1.6888,59.272,4.5748,4.9290,87.5176,10.2335,1.5995,,,38.5980,10.1061,,1.1809,17.2028
2021-07-14,,1.5817,1.9558,6.0591,1.4732,1.0840,7.6268,,25.646,7.4376,,,0.85158,,9.1742,7.4928,358.08,17107.91,3.8672,87.9885,146.30,130.30,1355.24,,,,,23.5734,4.9616,10.3320,1.6819,59.365,4.5736,4.9287,87.4789,10.2050,1.5990,,,38.5250,10.1485,,1.1812,17.2975
2021-07-13,,1.5840,1.9558,6.1316,1.4782,1.0857,7.6598,,25.644,7.4380,,,0.85518,,9.1970,7.4920,356.67,17142.99,3.8844,88.2879,146.50,130.55,1356.76,,,,,23.5550,4.9650,10.3085,1.6981,59.239,4.5687,4.9276,87.8029,10.1818,1.6014,,,38.6350,10.1726,,1.1844,17.2735
2021-07-12,,1.5888,1.9558,6.2426,1.4813,1.0852,7.6751,,25.723,7.4375,,,0.85570,,9.2052,7.4948,355.38,17199.18,3.8920,88.4110,146.30,130.55,1361.95,,,,,23.6064,4.9678,10.3280,1.7019,59.847,4.5542,4.9280,88.4389,10.2008,1.6027,,,38.7320,10.2372,,1.1852,17.1471
2021-07-09,,1.5868,1.9558,6.2369,1.4817,1.0852,7.6834,,25.791,7.4367,,,0.85758,,9.2117,7.4929,355.10,17190.24,3.8924,88.3710,146.30,130.46,1358.20,,,,,23.5800,4.9691,10.3355,1.6982,59.384,4.5497,4.9286,88.0163,10.1853,1.6029,,,38.5980,10.2770,,1.1858,16.8759
2021-07-08,,1.5957,1.9558,6.2463,1.4893,1.0851,7.6832,,25.894,7.4366,,,0.86133,,9.1967,7.4913,358.57,17280.56,3.8823,88.6073,146.30,129.91,1361.34,,,,,23.7922,4.9501,10.4138,1.7048,59.347,4.5504,4.9272,89.0266,10.1908,1.6020,,,38.4970,10.2904,,1.1838,17.0554
2021-07-07,,1.5711,1.9558,6.1224,1.4708,1.0917,7.6478,,25.688,7.4361,,,0.85500,,9.1900,7.4867,355.57,17146.47,3.8650,88.2825,146.30,130.86,1344.89,,,,,23.5724,4.9241,10.2475,1.6760,58.960,4.5192,4.9268,87.8009,10.1813,1.5924,,,38.1730,10.2566,,1.1831,16.8666
2021-07-06,,1.5633,1.9558,6.0292,1.4640,1.0930,7.6545,,25.610,7.4361,,,0.85450,,9.1942,7.4855,353.40,17151.39,3.8643,88.2126,147.10,130.99,1341.67,,,,,23.4590,4.9193,10.2150,1.6703,58.753,4.4941,4.9264,86.9726,10.1490,1.5920,,,38.1300,10.2514,,1.1838,16.8278
2021-07-05,,1.5760,1.9558,6.0069,1.4669,1.0935,7.6677,,25.586,7.4360,,,0.85665,,9.2182,7.4885,351.53,17176.31,3.8713,88.1605,147.10,131.58,1341.22,,,,,23.5266,4.9315,10.1778,1.6901,58.491,4.5059,4.9261,87.0600,10.1435,1.5960,,,38.1140,10.2889,,1.1866,16.8813
2021-07-02,,1.5836,1.9558,5.9421,1.4677,1.0945,7.6594,,25.606,7.4360,,,0.86003,,9.1838,7.4887,352.10,17191.94,3.8708,88.3055,147.30,131.74,1343.49,,,,,23.5936,4.9225,10.2375,1.6988,58.423,4.5264,4.9283,87.1200,10.1583,1.5969,,,38.0520,10.2780,,1.1823,17.0787
2021-07-01,,1.5836,1.9558,5.8955,1.4698,1.0985,7.6842,,25.507,7.4360,,,0.86033,,9.2273,7.4893,351.86,17259.71,3.8748,88.5590,146.70,132.42,1345.86,,,,,23.7270,4.9426,10.2105,1.6965,58.493,4.5164,4.9275,86.6085,10.1738,1.5989,,,38.0880,10.3307,,1.1884,16.9744
2021-06-30,,1.5853,1.9558,5.9050,1.4722,1.0980,7.6742,,25.488,7.4362,,,0.85805,,9.2293,7.4913,351.68,17280.30,3.8763,88.3240,146.50,131.43,1341.41,,,,,23.5784,4.9336,10.1717,1.7026,58.063,4.5201,4.9280,86.7725,10.1110,1.5976,,,38.1180,10.3210,,1.1884,17.0114
2021-06-29,,1.5811,1.9558,5.8826,1.4706,1.0965,7.6814,,25.477,7.4363,,,0.85948,,9.2297,7.4960,351.11,17339.93,3.8760,88.3050,147.30,131.54,1341.25,,,,,23.6108,4.9353,10.1893,1.7000,57.765,4.5193,4.9275,86.4662,10.1510,1.5985,,,38.1660,10.3610,,1.1888,17.0520
2021-06-28,,1.5753,1.9558,5.9159,1.4687,1.0969,7.6922,,25.499,7.4369,,,0.85710,,9.2459,7.4964,351.98,17274.78,3.8834,88.4940,147.30,132.13,1347.92,,,,,23.6527,4.9379,10.1763,1.6926,57.978,4.5070,4.9268,86.0594,10.1268,1.6014,,,38.0820,10.4130,,1.1910,16.9846
2021-06-25,,1.5726,1.9558,5.8635,1.4696,1.0956,7.7139,,25.487,7.4363,,,0.85950,,9.2751,7.4975,351.88,17245.40,3.8811,88.6824,147.10,132.27,1346.35,,,,,23.6766,4.9664,10.1360,1.6881,57.960,4.5132,4.9263,86.1880,10.1103,1.6035,,,38.0130,10.3887,,1.1950,16.8359
2021-06-24,,1.5756,1.9558,5.9041,1.4678,1.0967,7.7193,,25.423,7.4362,,,0.85883,,9.2675,7.4993,350.52,17249.38,3.8791,88.5020,146.20,132.20,1351.07,,,,,23.9678,4.9654,10.1740,1.6903,58.051,4.5245,4.9245,86.2638,10.1133,1.6039,,,38.0160,10.3802,,1.1936,17.0028
2021-06-23,,1.5762,1.9558,5.9203,1.4667,1.0963,7.7393,,25.408,7.4362,,,0.85435,,9.2807,7.5009,349.34,17265.33,3.8903,88.6476,146.40,132.44,1357.96,,,,,24.2265,4.9734,10.1725,1.6945,58.218,4.5227,4.9263,86.6975,10.1288,1.6064,,,37.9860,10.3334,,1.1951,16.9387
2021-06-22,,1.5818,1.9558,5.9682,1.4726,1.0943,7.7014,,25.533,7.4360,,,0.85560,,9.2365,7.4985,355.16,17196.34,3.8793,88.3735,146.60,131.50,1350.72,,,,,24.4812,4.9497,10.2198,1.7011,57.892,4.5328,4.9255,87.0550,10.1570,1.6009,,,37.7280,10.3395,,1.1894,17.0431
2021-06-21,,1.5821,1.9558,6.0192,1.4758,1.0954,7.6916,,25.569,7.4364,,,0.85670,,9.2326,7.4995,354.11,17175.29,3.8849,88.1860,147.04,130.91,1349.19,,,,,24.4932,4.9318,10.2673,1.7057,57.973,4.5329,4.9237,87.1265,10.2163,1.5989,,,37.5930,10.4483,,1.1891,16.9453
2021-06-18,,1.5832,1.9558,5.9575,1.4721,1.0941,7.6619,,25.519,7.4364,,,0.85785,,9.2379,7.4985,355.41,17174.78,3.8901,88.0297,146.40,131.12,1347.13,,,,,24.3373,4.9246,10.2868,1.7069,57.616,4.5492,4.9249,86.0172,10.2330,1.5978,,,37.4190,10.3459,,1.1898,16.8223
2021-06-17,,1.5763,1.9558,6.0286,1.4718,1.0925,7.6877,,25.510,7.4369,,,0.85525,,9.2694,7.4950,354.30,17266.58,3.8929,88.4810,146.80,132.09,1354.06,,,,,24.4406,4.9419,10.1973,1.7025,57.842,4.5375,4.9243,86.4188,10.1905,1.6000,,,37.4820,10.3103,,1.1937,16.8057
2021-06-16,,1.5719,1.9558,6.1063,1.4764,1.0896,7.7582,,25.472,7.4366,,,0.85830,,9.4107,7.4980,351.67,17270.58,3.9269,88.8795,147.00,133.19,1356.23,,,,,24.1996,4.9921,10.1208,1.6950,58.274,4.5166,4.9236,87.2354,10.1283,1.6073,,,37.7660,10.3613,,1.2124,16.6604
2021-06-15,,1.5742,1.9558,6.1394,1.4758,1.0899,7.7502,,25.450,7.4362,,,0.86150,,9.3991,7.4883,352.08,17254.07,3.9273,88.8031,147.20,133.28,1354.10,,,,,24.1978,4.9849,10.0823,1.6987,58.203,4.5235,4.9243,87.2350,10.0858,1.6063,,,37.7160,10.3586,,1.2108,16.6800
2021-06-14,,1.5696,1.9558,6.1846,1.4737,1.0889,7.7501,,25.422,7.4361,,,0.85898,,9.4008,7.4890,351.14,17267.62,3.9303,88.7015,147.20,132.95,1355.07,,,,,24.1179,4.9841,10.0828,1.6959,57.969,4.5152,4.9203,87.5040,10.0944,1.6070,,,37.7170,10.1380,,1.2112,16.7159
2021-06-11,,1.5687,1.9558,6.1580,1.4687,1.0883,7.7519,,25.335,7.4361,,,0.85710,,9.4089,7.4915,346.24,17215.96,3.9381,88.6714,147.20,132.88,1351.09,,,,,23.9003,4.9810,10.0828,1.6931,57.876,4.4695,4.9183,86.9620,10.0643,1.6060,,,37.6660,10.1969,,1.2125,16.4782
2021-06-10,,1.5731,1.9558,6.1432,1.4739,1.0909,7.7828,,25.391,7.4364,,,0.86293,,9.4467,7.4985,346.14,17375.34,3.9466,88.9732,146.80,133.35,1358.76,,,,,23.9905,5.0163,10.1118,1.6932,58.129,4.4818,4.9223,87.8666,10.0715,1.6129,,,37.9470,10.3284,,1.2174,16.6091
2021-06-09,,1.5731,1.9558,6.1345,1.4729,1.0913,7.7879,,25.377,7.4366,,,0.86053,,9.4615,7.5025,347.19,17375.74,3.9554,88.9600,146.90,133.38,1359.90,,,,,23.9390,5.0213,10.0518,1.6925,58.241,4.4560,4.9248,87.9491,10.0595,1.6133,,,38.0000,10.4651,,1.2195,16.5303
2021-06-08,,1.5718,1.9558,6.1300,1.4706,1.0914,7.7938,,25.394,7.4364,,,0.86100,,9.4526,7.4975,347.86,17358.22,3.9506,88.7780,146.90,133.28,1358.73,,,,,24.0699,5.0196,10.0480,1.6885,58.097,4.4698,4.9238,88.2824,10.0755,1.6120,,,37.9960,10.4666,,1.2182,16.4593
