,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
14,Mario Elie,HOU,33.0,195.58,95.25432,American International,USA,1985,7,160,78,11.7,3.0,4.0,5.6,0.027999999999999997,0.075,0.139,0.662,0.172,1996-97
15,Marcus Camby,TOR,23.0,210.82,99.79024,Massachusetts,USA,1996,1,2,63,14.8,6.3,1.5,-1.5,0.079,0.165,0.24100000000000002,0.523,0.092,1996-97
16,Marcus Brown,POR,23.0,190.5,83.91452,Murray State,USA,1996,2,46,21,3.9,0.7,1.0,4.0,0.027000000000000003,0.07,0.221,0.523,0.16899999999999998,1996-97
17,Malik Sealy,LAC,27.0,203.2,90.7184,St. John's (NY),USA,1992,1,14,80,13.5,3.0,2.1,-8.0,0.027000000000000003,0.09,0.222,0.504,0.114,1996-97
18,Malik Rose,CHH,22.0,200.66,113.398,Drexel,USA,1996,2,44,54,3.0,3.0,0.6,1.3,0.16899999999999998,0.21899999999999997,0.161,0.515,0.08900000000000001,1996-97
19,Mahmoud Abdul-Rauf,SAC,28.0,185.42,73.481904,Louisiana State,USA,1990,1,3,75,13.7,1.6,2.5,-4.9,0.009000000000000001,0.059000000000000004,0.23399999999999999,0.524,0.154,1996-97
20,Lucious Harris,PHI,26.0,195.58,92.98635999999999,Long Beach State,USA,1993,2,28,54,5.4,1.3,0.9,-5.5,0.036000000000000004,0.065,0.184,0.466,0.105,1996-97
21,Luc Longley,CHI,28.0,218.44,132.448864,New Mexico,USA,1991,1,7,59,9.1,5.6,2.4,10.4,0.095,0.159,0.19699999999999998,0.499,0.141,1996-97
22,Loy Vaught,LAC,29.0,205.74,108.86208,Michigan,USA,1990,1,13,82,14.9,10.0,1.3,-7.7,0.08800000000000001,0.255,0.20800000000000002,0.523,0.07,1996-97
23,Lou Roe,GSW,24.0,200.66,99.79024,Massachusetts,USA,1995,2,30,17,2.4,0.8,0.4,-14.4,0.054000000000000006,0.069,0.249,0.355,0.10300000000000001,1996-97
24,Matt Geiger,CHH,27.0,215.9,111.13004,Georgia Tech,USA,1992,2,42,49,8.9,5.3,0.8,0.9,0.12,0.179,0.215,0.5379999999999999,0.065,1996-97
25,Matt Maloney,HOU,25.0,190.5,90.7184,Pennsylvania,USA,Undrafted,Undrafted,Undrafted,82,9.4,2.0,3.7,6.3,0.01,0.064,0.147,0.585,0.188,1996-97
26,Matt Steigenga,CHI,27.0,200.66,102.0582,Michigan State,USA,1992,2,52,2,1.5,1.5,1.0,-19.8,0.0,0.16699999999999998,0.341,0.307,0.33299999999999996,1996-97
27,Melvin Booker,GSW,24.0,187.96,83.91452,Missouri,USA,Undrafted,Undrafted,Undrafted,21,5.8,1.4,2.5,-3.8,0.018000000000000002,0.064,0.14400000000000002,0.536,0.196,1996-97
28,Pervis Ellison,BOS,30.0,205.74,95.25432,Louisville,USA,1989,1,1,6,2.5,4.3,0.7,1.2,0.08800000000000001,0.16699999999999998,0.09,0.41200000000000003,0.04,1996-97
29,Patrick Ewing,NYK,34.0,213.36,108.86208,Georgetown,Jamaica,1985,1,1,78,22.4,10.7,2.0,6.4,0.077,0.258,0.297,0.5479999999999999,0.106,1996-97
30,P.J. Brown,MIA,27.0,210.82,108.86208,Louisiana Tech,USA,1992,2,29,80,9.5,8.4,1.2,7.4,0.11,0.192,0.157,0.505,0.059000000000000004,1996-97
31,Otis Thorpe,DET,34.0,208.28,111.58363200000001,Providence,USA,1984,1,9,79,13.1,7.9,1.7,6.2,0.10800000000000001,0.182,0.2,0.563,0.08900000000000001,1996-97
32,Othella Harrington,HOU,23.0,205.74,106.59411999999999,Georgetown,USA,1996,2,30,57,4.8,3.5,0.3,0.4,0.10300000000000001,0.155,0.154,0.57,0.033,1996-97
33,Oliver Miller,TOR,27.0,205.74,140.61352,Arkansas,USA,1992,1,22,61,4.8,5.0,1.4,-1.0,0.107,0.204,0.141,0.539,0.11599999999999999,1996-97
34,Olden Polynice,SAC,32.0,213.36,113.398,Virginia,USA,1987,1,8,82,12.5,9.4,2.2,-3.2,0.11,0.203,0.19399999999999998,0.47600000000000003,0.1,1996-97
35,Nick Van Exel,LAL,25.0,185.42,83.007336,Cincinnati,USA,1993,2,37,79,15.3,2.9,8.5,3.8,0.017,0.071,0.209,0.518,0.358,1996-97
36,Nick Anderson,ORL,29.0,198.12,103.418976,Illinois,USA,1989,1,11,63,12.0,4.8,2.9,3.6,0.035,0.128,0.18,0.494,0.13699999999999998,1996-97
37,Nate McMillan,SEA,32.0,195.58,90.7184,North Carolina State,USA,1986,2,30,37,4.6,3.2,3.8,14.1,0.023,0.161,0.113,0.522,0.265,1996-97
38,Nate Driggers,BOS,23.0,195.58,97.52228000000001,Montevallo,USA,Undrafted,Undrafted,Undrafted,15,2.4,1.5,0.4,-24.0,0.079,0.098,0.162,0.366,0.078,1996-97
39,Lorenzo Williams,WAS,27.0,205.74,104.32616,Stetson,USA,Undrafted,Undrafted,Undrafted,19,2.4,3.6,0.2,-10.9,0.121,0.18100000000000002,0.087,0.66,0.022000000000000002,1996-97
40,Muggsy Bogues,CHH,32.0,160.02,63.956472,Wake Forest,USA,1987,1,12,65,8.0,2.2,7.2,6.0,0.017,0.07400000000000001,0.149,0.5539999999999999,0.366,1996-97
41,Moochie Norris,VAN,23.0,187.96,85.275296,West Florida,USA,1996,2,33,8,1.5,1.5,2.9,-30.5,0.038,0.105,0.149,0.248,0.418,1996-97
42,Monty Williams,SAS,25.0,203.2,102.0582,Notre Dame,USA,1994,1,24,65,9.0,3.2,1.4,-6.3,0.085,0.099,0.225,0.5429999999999999,0.127,1996-97
43,Mitchell Butler,POR,26.0,195.58,95.25432,UCLA,USA,Undrafted,Undrafted,Undrafted,49,3.0,1.1,0.6,4.6,0.046,0.07400000000000001,0.168,0.503,0.114,1996-97
44,Mitch Richmond,SAC,32.0,195.58,97.52228000000001,Kansas State,USA,1988,1,5,81,25.9,3.9,4.2,-2.0,0.022000000000000002,0.09699999999999999,0.294,0.578,0.203,1996-97
45,Mike Brown,PHX,33.0,208.28,117.93392,George Washington,USA,1985,3,69,6,2.7,4.2,0.8,1.7,0.141,0.271,0.109,0.488,0.08900000000000001,1996-97
46,Michael Smith,SAC,25.0,203.2,104.32616,Providence,USA,1994,2,35,81,6.5,9.5,2.4,-1.8,0.11800000000000001,0.239,0.11,0.545,0.11199999999999999,1996-97
47,Michael Jordan,CHI,34.0,198.12,97.975872,North Carolina,USA,1984,1,3,82,29.6,5.9,4.3,13.4,0.042,0.132,0.331,0.5670000000000001,0.20800000000000002,1996-97
48,Michael Hawkins,BOS,24.0,182.88,80.73937600000001,Xavier,USA,Undrafted,Undrafted,Undrafted,29,2.8,1.1,2.2,-10.3,0.027999999999999997,0.08199999999999999,0.126,0.536,0.281,1996-97
49,Michael Finley,DAL,24.0,200.66,97.52228000000001,Wisconsin,USA,1995,1,21,83,15.0,4.5,2.7,-6.5,0.036000000000000004,0.12,0.221,0.53,0.147,1996-97
50,Michael Curry,DET,28.0,195.58,95.25432,Georgia Southern,USA,Undrafted,Undrafted,Undrafted,81,3.9,1.5,0.5,6.7,0.024,0.094,0.12,0.5920000000000001,0.062,1996-97
51,Michael Cage,PHI,35.0,205.74,112.490816,San Diego State,USA,1984,1,14,82,1.8,3.9,0.5,-12.0,0.09699999999999999,0.193,0.062,0.475,0.053,1996-97
52,Mookie Blaylock,ATL,30.0,185.42,83.91452,Oklahoma,USA,1989,1,12,78,17.4,5.3,5.9,10.5,0.046,0.114,0.221,0.5479999999999999,0.272,1996-97
53,Pooh Richardson,LAC,31.0,185.42,81.64656,UCLA,USA,1989,1,10,59,5.6,1.7,2.9,-5.2,0.026000000000000002,0.08,0.17800000000000002,0.455,0.271,1996-97
54,Lorenzen Wright,LAC,21.0,210.82,108.86208,Memphis,USA,1996,1,7,77,7.3,6.1,0.6,-3.7,0.12,0.168,0.146,0.503,0.039,1996-97
55,Lloyd Daniels,NJN,29.0,200.66,92.98635999999999,Mt. San Antonio,USA,Undrafted,Undrafted,Undrafted,22,4.5,2.0,1.2,-8.9,0.057999999999999996,0.10300000000000001,0.185,0.40299999999999997,0.135,1996-97
56,Keith Askins,MIA,29.0,203.2,101.604608,Alabama,USA,Undrafted,Undrafted,Undrafted,78,4.9,3.5,1.0,6.1,0.059000000000000004,0.127,0.10800000000000001,0.557,0.068,1996-97
57,Karl Malone,UTA,33.0,205.74,116.119552,Louisiana Tech,USA,1985,1,13,82,27.4,9.9,4.5,12.8,0.086,0.243,0.325,0.6,0.23399999999999999,1996-97
58,Juwan Howard,WAS,24.0,205.74,113.398,Michigan,USA,1994,1,5,82,19.1,8.0,3.8,1.3,0.073,0.156,0.23399999999999999,0.529,0.15,1996-97
59,Jud Buechler,CHI,29.0,198.12,103.418976,Arizona,USA,1990,2,38,76,1.8,1.7,0.8,5.4,0.07,0.121,0.12,0.423,0.121,1996-97
60,Jon Barry,ATL,27.0,195.58,92.98635999999999,Georgia Tech,USA,1992,1,21,58,4.9,1.7,2.0,5.0,0.031,0.087,0.152,0.535,0.193,1996-97
61,Johnny Newman,MIL,33.0,200.66,90.7184,Richmond,USA,1986,2,29,82,8.7,2.3,1.4,0.2,0.040999999999999995,0.07200000000000001,0.175,0.545,0.092,1996-97
62,John Wallace,NYK,23.0,205.74,102.0582,Syracuse,USA,1996,1,18,68,4.8,2.3,0.5,2.7,0.08,0.14800000000000002,0.204,0.5710000000000001,0.081,1996-97
63,John Stockton,UTA,35.0,185.42,79.3786,Gonzaga,USA,1984,1,16,82,14.4,2.8,10.5,11.4,0.021,0.075,0.18600000000000003,0.6559999999999999,0.45,1996-97
64,John Starks,NYK,31.0,195.58,83.91452,Oklahoma State,USA,Undrafted,Undrafted,Undrafted,77,13.8,2.7,2.8,6.5,0.021,0.094,0.24600000000000002,0.555,0.19899999999999998,1996-97
65,John Long,TOR,40.0,195.58,90.7184,Detroit Mercy,USA,1978,2,29,32,4.0,1.3,0.7,-9.8,0.017,0.10099999999999999,0.182,0.499,0.10400000000000001,1996-97
66,John Crotty,MIA,27.0,187.96,83.91452,Virginia,USA,Undrafted,Undrafted,Undrafted,48,4.8,1.0,2.1,-2.1,0.028999999999999998,0.059000000000000004,0.161,0.637,0.287,1996-97
67,Joe Wolf,MIL,32.0,210.82,117.93392,North Carolina,USA,1987,1,13,56,1.7,2.0,0.4,-3.5,0.07200000000000001,0.191,0.09699999999999999,0.488,0.055999999999999994,1996-97
68,Joe Stephens,HOU,24.0,200.66,95.25432,Arkansas-Little Rock,USA,Undrafted,Undrafted,Undrafted,2,1.5,1.5,0.0,-17.4,0.25,0.111,0.27899999999999997,0.3,0.0,1996-97
69,Joe Smith,GSW,21.0,208.28,102.0582,Maryland,USA,1995,1,1,80,18.7,8.5,1.6,-3.3,0.10300000000000001,0.163,0.239,0.512,0.07,1996-97
70,Joe Kleine,NJN,35.0,213.36,122.923432,Arkansas,USA,1985,1,6,59,2.8,3.4,0.6,-7.6,0.081,0.191,0.11800000000000001,0.45,0.065,1996-97
71,Joe Dumars,DET,34.0,190.5,88.45044,McNeese State,USA,1985,1,18,79,14.7,2.4,4.0,6.1,0.017,0.065,0.19,0.586,0.185,1996-97
72,Joe Courtney,SAS,27.0,203.2,106.59411999999999,Southern Mississippi,USA,Undrafted,Undrafted,Undrafted,9,2.8,1.8,0.0,-6.1,0.09699999999999999,0.095,0.151,0.38799999999999996,0.0,1996-97
73,Jimmy Oliver,TOR,27.0,195.58,92.98635999999999,Purdue,USA,1991,2,39,4,2.8,1.3,0.3,-40.8,0.024,0.10800000000000001,0.165,0.396,0.038,1996-97
74,Jimmy King,DEN,23.0,195.58,95.25432,Michigan,USA,1995,2,35,2,3.0,1.0,1.0,-42.5,0.08,0.0,0.162,0.387,0.2,1996-97
75,Jimmy Carruth,MIL,27.0,208.28,120.20188,Virginia Tech,USA,Undrafted,Undrafted,Undrafted,4,1.3,1.0,0.0,-17.7,0.0,0.21100000000000002,0.10300000000000001,0.727,0.0,1996-97
76,Jim McIlvaine,SEA,24.0,215.9,117.93392,Marquette,USA,1994,2,32,82,3.8,4.0,0.3,9.7,0.10300000000000001,0.152,0.11599999999999999,0.48700000000000004,0.022000000000000002,1996-97
77,Jim Jackson,NJN,26.0,198.12,97.52228000000001,Ohio State,USA,1992,1,4,77,15.9,5.3,4.1,-8.4,0.051,0.113,0.214,0.526,0.191,1996-97
78,Jerry Stackhouse,PHI,22.0,198.12,98.88305600000001,North Carolina,USA,1995,1,3,81,20.7,4.2,3.1,-6.8,0.053,0.063,0.254,0.524,0.134,1996-97
79,Keith Tower,MIL,27.0,210.82,113.398,Notre Dame,USA,Undrafted,Undrafted,Undrafted,5,1.4,1.8,0.2,5.6,0.028999999999999998,0.106,0.087,0.304,0.024,1996-97
80,Ken Norman,ATL,32.0,203.2,97.52228000000001,Illinois,USA,1987,1,19,17,3.8,2.3,0.7,-9.1,0.039,0.142,0.23399999999999999,0.322,0.107,1996-97
81,Kendall Gill,NJN,29.0,195.58,97.975872,Illinois,USA,1990,1,5,82,21.8,6.1,4.0,-3.6,0.057999999999999996,0.114,0.255,0.53,0.182,1996-97
82,Kenny Anderson,POR,26.0,185.42,76.203456,Georgia Tech,USA,1991,1,2,82,17.5,4.4,7.1,4.8,0.036000000000000004,0.102,0.222,0.54,0.31,1996-97
83,Litterial Green,DET,27.0,185.42,83.91452,Georgia,USA,1992,2,39,45,2.0,0.5,0.9,17.0,0.025,0.055,0.159,0.531,0.22399999999999998,1996-97
84,Lionel Simmons,SAC,28.0,200.66,95.25432,La Salle,USA,1990,1,7,41,3.4,2.5,1.4,-10.5,0.065,0.17300000000000001,0.162,0.442,0.179,1996-97
85,Lindsey Hunter,DET,26.0,187.96,88.45044,Jackson State,USA,1993,1,10,82,14.2,2.8,1.9,5.1,0.025,0.071,0.201,0.515,0.08800000000000001,1996-97
86,Lee Mayberry,VAN,27.0,185.42,81.64656,Arkansas,USA,1992,1,23,80,5.1,1.7,4.1,-11.0,0.017,0.064,0.115,0.525,0.265,1996-97
87,Lawrence Moten,VAN,25.0,195.58,86.18248,Syracuse,USA,1995,2,36,67,6.7,1.8,1.9,-10.6,0.04,0.076,0.215,0.461,0.18,1996-97
88,Latrell Sprewell,GSW,26.0,195.58,86.18248,Alabama,USA,1992,1,24,80,24.2,4.6,6.3,-3.3,0.021,0.11,0.271,0.57,0.27,1996-97
89,Larry Stewart,SEA,28.0,203.2,104.32616,Coppin State,USA,Undrafted,Undrafted,Undrafted,70,4.3,2.4,0.7,5.8,0.08900000000000001,0.115,0.161,0.512,0.079,1996-97
90,Larry Krystkowiak,LAL,32.0,205.74,99.79024,Montana,USA,1986,2,28,3,1.0,1.7,1.0,13.9,0.182,0.3,0.14,0.521,0.273,1996-97
91,Larry Johnson,NYK,28.0,200.66,119.294696,Nevada-Las Vegas,USA,1991,1,1,76,12.8,5.2,2.3,4.7,0.08,0.10300000000000001,0.17800000000000002,0.57,0.115,1996-97
92,Lamond Murray,LAC,24.0,200.66,107.047712,California,USA,1994,1,7,74,7.4,3.1,0.8,-1.4,0.071,0.138,0.209,0.52,0.077,1996-97
93,LaSalle Thompson,IND,36.0,208.28,111.13004,Texas,USA,1982,1,5,26,0.4,1.3,0.1,-12.8,0.062,0.205,0.098,0.231,0.024,1996-97
94,Loren Meyer,PHX,24.0,208.28,117.93392,Iowa State,USA,1995,1,24,54,4.9,2.7,0.4,-6.7,0.085,0.14,0.215,0.489,0.046,1996-97
95,LaPhonso Ellis,DEN,27.0,203.2,108.86208,Notre Dame,USA,1992,1,5,55,21.9,7.0,2.4,-5.9,0.061,0.163,0.28,0.529,0.122,1996-97
96,Kobe Bryant,LAL,18.0,200.66,90.7184,None,USA,1996,1,13,71,7.6,1.9,1.3,2.2,0.048,0.084,0.244,0.544,0.14400000000000002,1996-97
97,Khalid Reeves,DAL,24.0,190.5,91.171992,Arizona,USA,1994,1,12,63,8.2,1.9,3.6,-9.7,0.025,0.07200000000000001,0.193,0.508,0.272,1996-97
98,Kevin Willis,HOU,34.0,213.36,111.13004,Michigan State,USA,1984,1,11,75,11.2,7.5,0.9,0.9,0.092,0.24100000000000002,0.22,0.515,0.064,1996-97
99,Kevin Salvadori,SAC,26.0,213.36,104.779752,North Carolina,USA,Undrafted,Undrafted,Undrafted,23,1.6,1.1,0.4,3.5,0.047,0.124,0.15,0.452,0.08900000000000001,1996-97
100,Kevin Johnson,PHX,31.0,185.42,86.18248,California,USA,1987,1,7,70,20.1,3.6,9.3,2.9,0.024,0.085,0.226,0.631,0.38799999999999996,1996-97
101,Kevin Garnett,MIN,21.0,210.82,99.79024,None,USA,1995,1,5,77,17.0,8.0,3.1,2.8,0.077,0.166,0.215,0.537,0.139,1996-97
102,Kevin Gamble,SAC,31.0,195.58,95.25432,Iowa,USA,1987,3,63,62,5.0,1.7,1.2,-5.6,0.015,0.11900000000000001,0.149,0.529,0.131,1996-97
103,Kevin Edwards,NJN,31.0,190.5,95.25432,DePaul,USA,1988,1,20,32,5.9,1.3,1.8,-10.1,0.02,0.086,0.22399999999999998,0.47,0.19899999999999998,1996-97
104,Kevin Duckworth,LAC,33.0,213.36,136.0776,Eastern Illinois,USA,1986,2,33,26,4.0,2.3,0.6,-19.5,0.07,0.12300000000000001,0.172,0.473,0.069,1996-97
105,Kerry Kittles,NJN,23.0,195.58,81.19296800000001,Villanova,USA,1996,1,8,82,16.4,3.9,3.0,-5.2,0.035,0.08199999999999999,0.19899999999999998,0.523,0.139,1996-97
106,Kenny Smith,DEN,32.0,190.5,77.11064,North Carolina,USA,1987,1,6,48,6.3,0.9,2.4,-14.2,0.006,0.057999999999999996,0.19399999999999998,0.58,0.262,1996-97
107,Kurt Thomas,MIA,24.0,205.74,106.59411999999999,Texas Christian,USA,1995,1,10,18,6.3,5.9,0.5,-0.8,0.094,0.239,0.183,0.451,0.042,1996-97
108,Popeye Jones,TOR,27.0,203.2,113.398,Murray State,USA,1992,2,41,79,7.8,8.6,1.1,-2.8,0.127,0.209,0.13,0.521,0.055999999999999994,1996-97
109,Priest Lauderdale,ATL,23.0,223.52,155.582056,Central State (OH),USA,1996,1,28,35,3.2,1.2,0.3,-4.0,0.09300000000000001,0.16399999999999998,0.284,0.56,0.107,1996-97
110,Rafael Addison,CHH,32.0,203.2,109.315672,Syracuse,USA,1986,2,39,41,3.1,1.1,0.8,-4.0,0.07,0.086,0.193,0.47600000000000003,0.15,1996-97
111,Wayman Tisdale,PHX,33.0,205.74,117.93392,Oklahoma,USA,1985,1,2,53,6.5,2.3,0.4,-3.5,0.052000000000000005,0.127,0.253,0.441,0.045,1996-97
112,Walter McCarty,NYK,23.0,208.28,104.32616,Kentucky,USA,1996,1,19,35,1.8,0.7,0.4,3.2,0.055999999999999994,0.08,0.217,0.431,0.11599999999999999,1996-97
113,Walt Williams,TOR,27.0,203.2,104.32616,Maryland,USA,1992,1,7,73,16.4,5.0,2.7,-1.7,0.046,0.122,0.215,0.551,0.128,1996-97
114,Voshon Lenard,MIA,24.0,193.04,92.98635999999999,Minnesota,USA,1994,2,46,73,12.3,3.0,2.2,8.2,0.022000000000000002,0.095,0.187,0.614,0.131,1996-97
115,Vlade Divac,CHH,29.0,215.9,117.93392,None,Serbia and Montenegro,1989,1,26,81,12.6,9.0,3.7,5.4,0.107,0.19699999999999998,0.19399999999999998,0.5329999999999999,0.172,1996-97
116,Vitaly Potapenko,CLE,22.0,208.28,127.00576000000001,Wright State,Ukraine,1996,1,12,80,5.8,2.7,0.5,-0.2,0.106,0.11900000000000001,0.23399999999999999,0.486,0.064,1996-97
117,Vinny Del Negro,SAS,30.0,193.04,90.7184,North Carolina State,USA,1988,2,29,72,12.3,2.9,3.2,-8.1,0.02,0.094,0.192,0.528,0.17800000000000002,1996-97
118,Vincent Askew,DEN,31.0,198.12,106.59411999999999,Memphis,USA,1987,2,39,43,5.6,2.3,2.1,0.0,0.038,0.096,0.152,0.532,0.187,1996-97
119,Vin Baker,MIL,25.0,210.82,111.13004,Hartford,USA,1993,1,8,78,21.0,10.3,2.7,-1.6,0.107,0.20600000000000002,0.255,0.5529999999999999,0.12,1996-97
120,Vernon Maxwell,SAS,31.0,193.04,86.18248,Florida,USA,1988,2,47,72,12.9,2.2,2.1,-7.0,0.015,0.079,0.248,0.47100000000000003,0.136,1996-97
121,Tyus Edney,SAC,24.0,177.8,68.945984,UCLA,USA,1995,2,47,70,6.9,1.6,3.2,-2.0,0.027999999999999997,0.067,0.192,0.499,0.264,1996-97
122,Tyrone Hill,CLE,29.0,205.74,111.13004,Xavier,USA,1990,1,11,74,12.9,9.9,1.2,5.3,0.131,0.245,0.17800000000000002,0.626,0.065,1996-97
123,Terry Cummings,SEA,36.0,205.74,113.398,DePaul,USA,1982,1,2,45,8.2,4.1,0.9,1.3,0.10400000000000001,0.174,0.23199999999999998,0.521,0.08800000000000001,1996-97
124,Terrell Brandon,CLE,27.0,180.34,81.64656,Oregon,USA,1991,1,11,78,19.5,3.9,6.3,2.7,0.022000000000000002,0.11900000000000001,0.28300000000000003,0.526,0.337,1996-97
125,Stojko Vrankovic,MIN,33.0,218.44,117.93392,None,USA,Undrafted,Undrafted,Undrafted,53,3.4,3.2,0.3,-7.1,0.08900000000000001,0.16899999999999998,0.125,0.583,0.027999999999999997,1996-97
126,Stevin Smith,DAL,25.0,187.96,94.34713599999999,Arizona State,USA,Undrafted,Undrafted,Undrafted,8,1.8,1.3,0.5,-6.8,0.028999999999999998,0.157,0.163,0.38,0.11800000000000001,1996-97
127,Steven Smith,ATL,28.0,203.2,97.52228000000001,Michigan State,USA,1991,1,5,72,20.1,3.3,4.2,7.4,0.04,0.061,0.253,0.5479999999999999,0.203,1996-97
128,Steve Scheffler,SEA,29.0,205.74,113.398,Purdue,USA,1990,2,39,7,1.6,0.4,0.0,-19.9,0.043,0.077,0.18600000000000003,0.799,0.0,1996-97
129,Steve Nash,PHX,23.0,190.5,88.45044,Santa Clara,Canada,1996,1,15,65,3.3,1.0,2.1,-8.5,0.026000000000000002,0.083,0.17,0.539,0.301,1996-97
130,Steve Kerr,CHI,31.0,190.5,81.64656,Arizona,USA,1988,2,50,82,8.1,1.6,2.1,10.1,0.018000000000000002,0.062,0.13,0.667,0.14,1996-97
131,Steve Hamer,BOS,23.0,213.36,111.13004,Tennessee,USA,1996,2,38,35,2.2,1.7,0.2,-3.1,0.065,0.18100000000000002,0.126,0.545,0.037000000000000005,1996-97
132,Stephon Marbury,MIN,20.0,187.96,81.64656,Georgia Tech,USA,1996,1,4,67,15.8,2.7,7.8,-3.1,0.027999999999999997,0.066,0.244,0.519,0.373,1996-97
133,Stephen Howard,UTA,26.0,205.74,111.13004,DePaul,USA,Undrafted,Undrafted,Undrafted,49,3.6,1.7,0.2,0.1,0.094,0.16399999999999998,0.187,0.613,0.046,1996-97
134,Wesley Person,PHX,26.0,198.12,88.45044,Auburn,USA,1994,1,23,80,13.5,3.7,1.5,0.7,0.033,0.114,0.195,0.5670000000000001,0.084,1996-97
135,Will Perdue,SAS,31.0,213.36,108.86208,Vanderbilt,USA,1988,1,11,65,8.7,9.8,0.6,-4.7,0.155,0.25,0.139,0.5820000000000001,0.033,1996-97
136,Willie Anderson,MIA,30.0,203.2,90.7184,Georgia,USA,1988,1,10,28,3.0,1.5,1.2,-1.0,0.06,0.11800000000000001,0.146,0.57,0.191,1996-97
137,Willie Burton,ATL,29.0,203.2,95.25432,Minnesota,USA,1990,1,9,24,6.2,1.7,0.5,-4.8,0.033,0.09699999999999999,0.21,0.507,0.055999999999999994,1996-97
138,Tyrone Corbin,ATL,34.0,198.12,102.0582,DePaul,USA,1985,2,35,70,9.5,4.2,1.8,10.5,0.040999999999999995,0.111,0.153,0.514,0.08900000000000001,1996-97
139,Terry Dehere,LAC,25.0,193.04,86.18248,Seton Hall,USA,1993,1,13,73,6.4,1.3,2.2,-0.5,0.016,0.08800000000000001,0.233,0.524,0.261,1996-97
140,Terry Mills,DET,29.0,208.28,113.398,Michigan,USA,1990,1,16,79,10.8,4.8,1.3,11.4,0.045,0.188,0.205,0.585,0.08900000000000001,1996-97
141,Terry Porter,MIN,34.0,190.5,88.45044,Wisconsin-Stevens Point,USA,1985,1,24,82,6.9,2.1,3.6,2.1,0.024,0.109,0.19,0.544,0.316,1996-97
142,Theo Ratliff,DET,24.0,208.28,102.0582,Wyoming,USA,1995,1,18,76,5.8,3.4,0.2,7.3,0.11,0.134,0.168,0.5660000000000001,0.016,1996-97
143,Tim Hardaway,MIA,30.0,182.88,88.45044,Texas-El Paso,USA,1989,1,14,81,20.3,3.4,8.6,8.9,0.018000000000000002,0.083,0.264,0.532,0.40399999999999997,1996-97
